Id,SalePrice
2658,139527.44619973842
2718,154975.931551083
2414,185843.53337570745
1989,140110.5902441265
625,182518.17595303338
333,101384.58794995304
1327,121326.68805791344
858,155614.91190123744
95,252253.90680665988
1568,163527.86575171072
2482,155361.44447731413
1364,139781.84451899026
2584,179537.9504568819
818,288282.2899793172
2673,163058.75608847663
2089,105806.9171358496
1297,149639.7483599158
790,101245.78571450803
2616,219603.34158178512
720,189001.1221536072
222,133247.7583263684
557,132551.91645660903
1148,218622.12702546176
2766,164940.51078193635
534,172362.34559272416
1452,125766.97027408518
630,154606.18546924647
2648,117587.57998615596
125,147173.79115431663
1904,55193.46733854711
1670,114512.7288800152
756,82656.28006727528
717,237818.06477735564
1032,172350.86470253393
852,215219.18187119812
1731,168937.61408036668
2639,122314.57073159795
2071,64170.05230594892
1267,112597.67194983456
1851,195906.21440222394
567,148863.61787709873
2439,209927.8804172026
1898,155317.8569084499
647,156901.24361724034
2256,241669.23460920993
979,122910.90425531287
1444,214772.46921997983
2485,124900.85917462409
157,130049.77575786691
88,126279.7799746925
2003,113361.26880017202
186,199836.713200666
1425,273888.3242099136
2695,123441.19032945018
738,114766.30087828916
395,159170.79111484718
1353,139537.23843846284
1878,146654.95962527487
390,156762.0928445356
1456,225280.61949099507
1103,345016.8085116083
1387,141705.25381218642
2070,157872.20637967903
1199,147828.49029488117
2479,168923.86867462378
501,345029.16584679484
2362,107937.95902603399
1718,211755.13568434585
2188,86833.02911151387
1483,157545.2354872143
2557,112666.15739725437
437,360509.887399734
2224,226640.7645548284
1628,161187.0821305178
397,126577.38413087372
587,219540.39829016477
971,118895.15586765204
2611,143762.55249528866
1887,101187.83177575003
2399,336131.53571958654
2148,214563.9323081188
304,107959.55776873883
1997,133632.0751247527
2817,129081.05851553287
1431,175183.44704683498
427,353076.6831361037
263,131191.53685178328
598,165558.37514985166
2895,245747.4335856447
687,150603.07466618065
1822,137008.36091301683
2191,93512.11343964096
179,128736.73048640508
1009,193755.50902242027
2010,127278.18337404355
1991,133577.05406935513
1411,136496.55872832425
1721,262884.04508670606
1144,182396.78085245192
593,197587.02881850582
575,298556.3368825577
1249,180601.874857774
1604,122861.5211337423
1064,548654.0731889019
1923,157535.9605471557
1988,99153.72403978836
2325,171501.46486978047
114,192813.13712745626
2700,190675.01746928878
217,130966.30246165954
343,169133.8396213334
386,249345.01394888852
2005,121373.8363317633
2908,131296.9301378699
1814,213270.6124553457
2446,535429.4998452207
208,151303.92650780827
1679,116002.62287735846
822,317889.9279519543
6,185612.12938101683
1781,404550.44617761485
2397,281155.4955756357
2340,307717.39606117643
1618,169438.84336037468
2843,78618.25248853955
1061,366570.2711006738
2786,130425.37838984281
1935,140870.83827002905
1341,124217.39507960435
521,288353.68903427105
2136,131615.35897548404
996,192865.94165515434
227,146546.59365924262
135,159997.76651241723
1167,176272.2268945165
294,240609.99084525183
1776,206960.23432129342
540,161249.57328719366
1717,211755.13568434585
2303,116087.765147998
116,197012.89165671356
127,139058.75706744287
1371,129928.23403022252
1014,196841.59054794256
1507,89064.33316654712
702,126265.0990730226
750,151881.30320976488
261,143923.9727763487
1559,104079.65732233878
577,210575.8595114844
2812,198553.76836356055
2080,136783.83207028545
1368,109485.99712387659
2376,120560.35093767289
659,117970.28163270745
1235,130294.29760761838
332,98981.0403234763
1917,136347.33553675096
2094,231910.59305970836
1460,267891.31527476944
1471,197476.60203211848
1509,116996.94304194394
1922,146911.1953322757
433,559845.1757912617
460,262661.5105688758
1116,271833.09622618183
1137,170073.78833844233
53,169228.4062938327
2354,258072.6556619918
1475,201885.95012432244
1761,478832.2674064534
842,149582.019219839
2739,140063.88562438916
2509,158548.869186447
1007,202860.30679531023
2610,170328.5145597197
1952,95636.49089612719
2719,153335.3892322285
2921,102619.73794861976
1966,136462.27232640889
292,122974.13862093445
1204,199551.08448705357
1829,254721.58004982304
2419,184224.9191160826
391,159309.6299611749
798,115049.75145447161
481,185604.73623785842
193,215838.51885765605
555,132447.6972357165
899,43298.782529861666
2357,178702.68848855048
328,106425.24265922047
1356,121160.46189805027
1154,118854.34589043353
1730,174791.45216654893
2249,137159.02357236948
1119,263143.7415547455
2856,130581.18424848001
1394,121529.68695832323
2587,128244.67511179578
61,341893.18466962036
2661,219317.5017893929
2711,122623.17294173781
1147,177696.99802649952
757,122071.4510880718
2623,83649.03920274321
2378,157196.81535910536
1413,129233.92109049391
1722,231937.58956660796
1112,223467.8647892829
1623,199175.28936542664
1201,178966.96282765735
1513,125281.06400952209
957,250132.91695510782
1171,279343.7624480799
1145,174381.38830659352
2726,253047.67429020815
703,152954.326677504
760,101674.56985921413
1964,139496.7002086835
2512,170890.42003754247
159,139401.03684226796
1281,159967.35206828546
468,181892.9886528626
290,122526.87687416375
665,89637.72439002618
1463,283216.516238383
1792,236480.3679858325
923,155481.56163742114
500,274545.3511404451
1408,198085.26436500717
331,89297.91798487399
170,120241.35092321597
2192,100361.18730846513
2571,265996.59545563906
2314,172387.66847679112
2647,108656.34547979943
422,445877.97556215804
2457,373885.53516447917
1838,220802.5657039201
2805,259446.5648951428
1645,158819.78707849514
1711,320917.43584917206
2825,239675.19692143518
322,359231.13668936305
2103,280956.06489211135
342,123417.87128208112
600,116477.896836319
488,207457.5194587186
1725,342343.26010872703
2246,276984.6968453182
2847,177159.68394443206
806,243322.18312159088
530,238876.65884646308
963,184858.97009497136
2678,95571.98196837585
171,93992.48531530425
2401,456290.4256041283
805,206011.08983994834
2259,222335.06623627618
1748,166248.56064495258
1361,116920.0370445028
1677,120672.91174507886
1406,144199.1576093426
2322,232122.3675632747
688,147467.00946243387
143,139920.23729926255
804,185110.41033355705
1214,151759.72374958266
2828,130936.09540831763
1999,220783.99257456232
2467,189844.31471303385
2665,135982.55914374255
1538,340752.6322984053
398,114158.61306185648
2822,120653.58416098915
2157,135484.96988486778
1856,199931.00146733504
1269,143218.49629134499
2570,127165.75213498902
2320,248747.11183504201
1517,112635.44854592346
2304,124435.20170270465
1312,105074.90614713263
2012,136100.62509463262
506,217182.58107174095
2865,193844.4195217183
2367,101540.78730234131
554,122991.58840302844
238,117332.80936206039
1954,121383.23455273267
2488,130972.4102391582
2291,100629.00319666229
1969,129551.02519871201
2725,166205.65999399498
1482,157545.2354872143
2763,185456.6672370592
503,236461.1991910832
1584,235317.12824458443
1531,165424.67338611837
2210,169769.25317812618
459,345169.43058098387
556,137161.12951790355
1347,129329.5306857545
1290,94212.61836544424
1388,121792.01810951252
1571,192516.20700081903
2754,197646.62711740285
765,123126.6038930174
2494,125315.12505448144
2870,182931.77354212105
7,207476.84048850928
1114,242965.23783659842
2418,310797.8107313812
291,131071.17171243671
18,360397.1746362103
39,366482.95724596176
1001,283156.36495769303
2442,241977.03077459335
616,130925.85772977676
2680,103796.2116602324
1414,116035.31778873038
289,137901.06780197565
40,259315.21237995476
860,143652.73809523974
409,126610.16243712883
673,144620.34659969527
2427,173805.38748237956
2036,198201.89473106712
2564,160334.71706661023
642,156817.93131238315
1008,183432.7844661791
1908,142482.12882731203
2519,274776.8856736822
1369,113768.33757311851
2855,180401.93365916703
712,106606.82627098542
1943,125408.22331812885
1958,145577.2141523976
107,144114.75735778082
2295,193194.64091525227
704,92466.12592893746
676,139417.51231880952
259,183759.39979223628
93,300582.20584833436
106,240017.63198306784
2315,197360.41419629287
1050,119111.89767887071
1095,188690.54834121466
2709,137571.9066319624
758,208279.65580330044
1496,152744.18435195088
2370,115768.49274367932
2458,272612.88371223956
2733,118221.3887630133
161,262540.2943034377
726,164030.74852908123
845,192464.0769422995
947,263666.2004329758
2232,146887.58970487304
2563,185139.3281086255
2299,128143.50050685089
211,133514.0072172936
605,143469.05141771212
1478,205145.14563929848
2247,276984.6968453182
2274,236324.62119094934
2869,174489.47142793238
967,224708.556545455
2656,100938.32889249828
667,194799.64821310993
1042,101543.25496393908
2023,163808.07952486072
2447,419193.3507351745
2055,130290.91992637515
2275,305730.98524671793
2204,175067.16523536202
1563,275915.0035425145
483,204775.530815335
796,120041.92386183701
1526,159636.3728579739
2042,170863.82162976917
442,339054.6048227381
1693,333540.85674839746
1468,213504.29325467907
1430,185650.56308296323
2605,158293.73262459692
1529,190172.7314059185
335,131538.88938340824
1287,138533.075302233
31,108408.45368938148
1785,263344.9401202006
82,154679.3298986759
2620,133736.67900178023
252,185010.98946845438
721,83703.90550253261
2165,194893.0840176521
2316,170156.0173132131
775,127225.03576814663
1558,97667.46734715346
17,201882.08420065697
1022,219034.63319735508
925,149368.48639278673
438,292848.68071856163
1270,133320.27999732643
1272,128610.27175776381
215,138375.53103575297
266,215133.0769977579
2402,260079.51913744118
1250,122111.41596875247
1984,125199.01692505088
1279,147701.0720926607
377,209506.40430070926
1252,140538.7989289472
2156,266462.9123244239
499,325678.48920518067
1374,134908.467825762
2898,256792.26389101334
401,115091.84783293959
2721,183574.7931006858
2078,266328.7084123017
2589,128052.60807250533
1946,294105.7518480541
1334,120705.98708712496
2781,231493.76255071443
431,408006.83997693565
576,243778.59100054204
1474,196726.32786889467
2254,114658.85282498319
2155,300742.5809183242
885,107074.44789304305
643,135607.44528223667
1944,131160.8225887781
480,196556.71394037362
2845,99155.08399097342
2387,330458.05753403716
2407,214145.11580590997
2527,153356.09981197305
2514,138198.5357449595
629,199363.7820698088
80,190696.04378448706
1876,143030.6364809135
1546,124295.82933010999
2518,170744.33554381598
2347,155382.49956683535
783,219376.02916643862
1322,52970.4545240961
194,70895.84703760687
1770,291561.7880438324
2143,149996.4640370151
1229,193811.4793794984
511,292290.83689892385
46,212633.10321532097
1348,162957.81912552472
2465,187480.55255294498
387,240013.04582071397
873,197804.16912160255
1918,127766.9860386448
2764,225418.501707023
2184,121293.28594839759
934,139531.94455726352
1920,133080.6636113515
2631,142689.44012513664
1768,511261.211077678
2040,111403.86629565246
1749,224847.79714396317
834,222366.6193383513
1457,250998.16775379237
79,109220.19346511737
2302,118787.00554420706
1817,133228.0346448077
2755,235071.44533832
359,168952.88936570566
2059,119430.14466199558
2092,218627.2282660501
2516,261032.83044062182
150,132909.08148587868
1656,156713.84346111864
83,111774.92332854029
2411,193080.77604548167
795,65348.81485264469
2312,237043.70962224156
2917,84298.42273183446
1624,168456.32072849013
2215,240826.6682379106
1211,150122.3461856814
1485,148361.44194024336
1024,156835.7964073578
570,197947.4797535427
2874,133604.037692938
700,126532.79176147468
2756,217670.13454330433
2022,220599.34229153395
583,222375.51304685976
2392,357720.5986033669
2424,210565.24405816477
212,115032.35087232944
736,144667.96181704197
1610,170960.35785700195
890,106725.55892515369
467,169950.45739320945
578,204959.5035560811
1747,151616.16934242565
1149,153780.0651102187
2758,261683.33347689826
857,144457.48763004597
2219,258291.95970215742
733,107518.33696290385
2909,119461.30161951017
1798,278997.5777978273
235,104485.02365402319
2366,127302.13175715879
1027,146373.23983508907
1195,146120.56235441938
1303,-9379.02058215905
148,195436.38713545073
608,159350.89220543765
2515,192065.61901496258
821,272851.4151708698
2500,299176.3690529503
745,118956.20949812513
741,120994.21179802157
1611,132565.75471934583
2532,117093.4805932492
1081,215547.00209890027
1692,445534.90398515854
2520,174588.43895388674
276,93362.88029878866
1992,123850.98671262432
663,40326.686287754215
418,101128.02089541592
1733,211029.99896835256
2359,147648.15314711165
253,181887.28018221539
1518,166887.93615313992
2035,135230.85276266932
2919,103910.0609622933
1540,236110.88996369764
2120,156593.33521823492
1674,188502.56961627398
256,158981.69685856998
2361,112798.16498872079
978,93755.36643625516
2280,143344.80077376124
2095,196028.12770650536
1709,328099.15778853185
2801,238812.5586133711
1246,118019.66618574783
2373,109296.5818530349
1055,263627.15444443
2017,116530.52367912792
1099,279706.75026420504
1344,81964.73206951935
835,159646.01168371644
1117,212161.10524685215
2043,86809.36013707053
2085,109496.00703131594
410,157460.2425173698
2650,108439.95737673435
2867,180586.09577899706
1668,122386.68725248706
1161,156342.56429470424
2122,168394.7656195229
2539,128716.46150692552
1047,127653.55069581699
